Date,Moonlight,Rocky Point,Waterfall
30/03/2022,21.43994565217392,18.91242424242424,11.920959595959596
29/03/2022,22.38549453599813,19.43715812812945,12.392638058324104
28/03/2022,21.12153815268784,18.510526720787965,13.096501064653504
27/03/2022,18.990020621109224,17.843484841313042,10.963553639846744
26/03/2022,18.085233853865432,16.7718256296266,10.129563424566614
25/03/2022,17.74941255199855,16.573338387528924,9.210980832782552
24/03/2022,18.28444024725275,16.921156107400076,9.597577283827285
23/03/2022,19.916432669082123,17.176197009022367,9.64880487461302
22/03/2022,20.874277564905857,17.297515926102882,9.148276292335117
21/03/2022,20.15936147660819,16.835377192982456,8.571406089474175
20/03/2022,19.805423245614037,16.126881795428396,8.083805318782558
19/03/2022,19.902050120772945,16.04987910034753,8.346973316851914
18/03/2022,19.21312844759653,15.32806241585523,7.965634920634922
17/03/2022,18.632759069096277,15.19303865769074,7.345887667887667
