date,2020
2/10/22,1221
3/10/22,1221.14
4/10/22,1221.14
5/10/22,1221.14
6/10/22,1221.16
7/10/22,1244.06
8/10/22,1256.67
9/10/22,1257.94
10/10/22,1257.94
11/10/22,1258.1
12/10/22,1259.39
13/10/22,1259.53
14/10/22,1259.77
15/10/22,1260.06
16/10/22,1260.1
17/10/22,1264.57
18/10/22,1267.15
19/10/22,1268.69
20/10/22,1268.71
21/10/22,1268.71
22/10/22,1268.77
23/10/22,1268.77
24/10/22,1268.79
25/10/22,1272.69
26/10/22,1280.6
27/10/22,1303.69
28/10/22,1309.01
29/10/22,1309.21
30/10/22,1309.38
31/10/22,1311.29
1/11/22,1372.72
2/11/22,1387.17
3/11/22,1387.25
4/11/22,1387.43
5/11/22,1387.63
6/11/22,1416.48
7/11/22,1416.48
8/11/22,1416.48
9/11/22,1416.48
10/11/22,1416.48
11/11/22,1416.64
12/11/22,1416.74
13/11/22,1418.48
14/11/22,1418.48
15/11/22,1418.48
16/11/22,1418.52
17/11/22,1418.52
18/11/22,1418.62
19/11/22,1418.64
20/11/22,1418.72
21/11/22,1418.72
22/11/22,1418.72
23/11/22,1418.84
24/11/22,1425.63
25/11/22,1425.69
26/11/22,1425.69
27/11/22,1425.69
28/11/22,1425.69
29/11/22,1425.69
30/11/22,1425.69
1/12/22,1425.69
2/12/22,1425.69
3/12/22,1425.69
4/12/22,1425.69
5/12/22,1425.69
6/12/22,1426.97
7/12/22,1426.97
8/12/22,1426.97
9/12/22,1426.97
10/12/22,1426.97
11/12/22,1426.97
12/12/22,1426.97
13/12/22,1428.18
14/12/22,1428.69
15/12/22,1428.69
16/12/22,1428.74
17/12/22,1480.2
18/12/22,1480.25
19/12/22,1481.27
20/12/22,1481.29
21/12/22,1481.41
22/12/22,1482.55
23/12/22,1488.58
24/12/22,1488.58
25/12/22,1490.98
26/12/22,1491.12
27/12/22,1507.9
28/12/22,1507.98
29/12/22,1508.05
30/12/22,1509
31/12/22,1509
