Date,Volume,Quality
2022/03/26,190.067,140
2022/03/27,188.068,140
2022/03/28,187.918,140
2022/03/29,171.720,140
2022/03/30,167.922,140
2022/03/31,159.996,140
2022/04/01,149.733,140
2022/04/02,142.423,140
2022/04/03,141.552,140
2022/04/04,126.122,140
2022/04/05,117.622,140
2022/04/06,145.399,140
2022/04/07,554.502,255
