2022,2021,2020,2019,2018,Date,2023,Quality
84845.104,14331.487,0.0,3242.697,670.623,2023/01/31,,
86688.315,15825.311,0.0,3385.181,675.78,2023/02/01,,
88149.699,19806.158,0.0,3492.682,679.769,2023/02/02,,
89403.505,22994.227,0.0,3591.075,683.009,2023/02/03,,
90578.101,24743.237,0.0,3717.068,686.314,2023/02/04,,
91630.038,25976.571,0.0,3845.546,690.214,2023/02/05,,
92720.854,26929.523,0.0,4311.225,693.477,2023/02/06,,
93707.755,27661.001,0.0,4766.618,696.172,2023/02/07,,
94608.906,28248.36,0.0,5277.283,698.443,2023/02/08,,
95737.251,28781.484,16508.265,5912.829,700.517,2023/02/09,,
96759.43,29290.271,188731.375,6280.117,702.507,2023/02/10,,
97630.647,29949.398,204043.826,6514.27,704.388,2023/02/11,,
98592.184,30468.491,209913.322,6683.204,706.156,2023/02/12,,
99529.429,30884.871,221439.43,6813.644,707.723,2023/02/13,,
100450.199,31315.356,229614.003,6916.199,709.225,2023/02/14,,
101254.353,31724.253,232969.288,7002.805,710.686,2023/02/15,,
101933.125,32207.853,235659.363,7078.806,712.094,2023/02/16,,
102521.447,34738.134,238322.978,7146.146,713.463,2023/02/17,,
103041.54,36202.842,240433.411,7205.783,714.744,2023/02/18,,
103510.04,37290.742,241919.871,7259.038,715.86,2023/02/19,,
103950.801,38287.251,243036.675,7306.481,717.212,2023/02/20,,
104376.3,39080.576,243878.191,7350.425,719.366,2023/02/21,,
104757.009,39692.008,244538.513,7391.712,721.157,2023/02/22,,
105135.275,40246.904,245106.221,7431.02,722.683,2023/02/23,,
109551.358,40790.425,245575.652,7469.511,725.771,2023/02/24,,
114549.38,41240.174,245973.57,7507.35,743.984,2023/02/25,,
122766.255,41637.061,246304.023,7544.564,1193.386,2023/02/26,,
133294.984,41990.048,246580.046,7580.151,2614.035,2023/02/27,,
141497.602,42302.233,246815.5,7612.022,3859.855,2023/02/28,,
146488.403,42582.047,247022.32,7640.377,4916.525,2023/03/01,,
156715.098,42831.551,247205.198,7666.095,5489.304,2023/03/02,,
227876.332,43052.216,247371.037,7689.05,5831.158,2023/03/03,,
301559.686,43250.255,247518.548,7709.772,6065.333,2023/03/04,,
333785.781,43431.647,247669.996,7728.486,6242.109,2023/03/05,,
348632.767,43597.948,248110.117,7745.206,6387.197,2023/03/06,,
368272.077,43750.997,249243.328,7759.385,6527.549,2023/03/07,,
438972.869,43893.479,251256.764,7770.745,6719.371,2023/03/08,,
559920.715,44028.88,253359.384,7780.56,6903.315,2023/03/09,,
587703.006,44158.068,255025.51,7789.125,7056.443,2023/03/10,,
598096.755,44281.631,256172.164,7796.77,7182.778,2023/03/11,,
604336.456,44409.408,257038.343,7803.615,7286.236,2023/03/12,,
608875.266,44541.473,257684.437,7809.915,7373.899,2023/03/13,,
612401.752,44710.727,258187.902,7816.068,7447.787,2023/03/14,,
615253.974,45168.903,258604.224,7822.235,7510.757,2023/03/15,,
617742.737,45590.578,258989.264,7828.66,7568.205,2023/03/16,,
619913.481,45903.688,259337.845,7837.195,7621.81,2023/03/17,,
621882.461,47036.426,259749.66,7855.367,7669.148,2023/03/18,,
623672.408,52572.542,260144.96,8564.796,7710.966,2023/03/19,,
626142.431,78515.41,260452.531,10105.62,7747.601,2023/03/20,,
628183.484,132077.402,260704.865,10932.382,7781.035,2023/03/21,,
629755.245,161686.76,260918.24,11375.44,7841.102,2023/03/22,,
631133.147,191389.674,261103.084,11891.326,8440.021,2023/03/23,,
632385.956,214606.364,261269.407,12397.652,9747.987,2023/03/24,,
633559.358,221935.032,261419.181,12713.477,10742.685,2023/03/25,,
634742.751,226273.529,261557.098,12932.871,11349.844,2023/03/26,,
636207.826,229273.699,261691.019,13096.544,11883.062,2023/03/27,,
638038.708,231547.862,261847.894,13225.303,12214.997,2023/03/28,,
640167.252,233376.441,262146.386,13331.891,12450.919,2023/03/29,,
642450.89,234886.134,262410.813,13435.546,12633.814,2023/03/30,,
647177.922,236173.318,262627.427,13537.023,12783.492,2023/03/31,,
651204.625,237308.138,262831.624,13657.302,12907.916,2023/04/01,,
654599.583,238326.906,263021.259,13772.604,13013.812,2023/04/02,,
656819.659,239212.349,263200.548,13872.078,13106.25,2023/04/03,,
658783.525,239985.199,263431.348,13965.542,13187.957,2023/04/04,,
660324.593,240669.347,263771.921,14058.301,13258.69,2023/04/05,,
661631.724,241295.404,264144.355,14204.708,13321.569,2023/04/06,,
664412.294,241889.609,264440.005,14412.817,13379.143,2023/04/07,,
690684.805,242445.397,264669.651,14568.0,13431.997,2023/04/08,,
717616.863,242946.172,264869.583,14689.772,13480.457,2023/04/09,,
735458.835,243401.031,265079.329,14788.899,13525.027,2023/04/10,,
743743.254,243805.645,265582.196,14873.019,13566.781,2023/04/11,,
748882.022,244166.033,266241.62,14947.194,13605.878,2023/04/12,,
752946.249,244492.201,266751.197,15013.836,13641.806,2023/04/13,,
756020.15,244793.657,267121.246,15074.987,13674.83,2023/04/14,,
758527.767,245074.701,267420.14,15131.692,13705.179,2023/04/15,,
760692.996,245335.863,267678.857,15185.673,13732.477,2023/04/16,,
762593.15,245579.608,267908.567,15237.708,13757.576,2023/04/17,,
764272.458,245811.194,268114.149,15286.741,13781.294,2023/04/18,,
765784.648,246033.941,268296.956,15333.343,13804.06,2023/04/19,,
767166.19,246246.842,268460.515,15377.964,13825.985,2023/04/20,,
768508.294,246448.769,268610.046,15420.122,13847.252,2023/04/21,,
769731.562,246638.87,268750.213,15460.408,13868.137,2023/04/22,,
