Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Location,Harvest Area
29.193870967741933,27.906555555555553,26.973333333333336,26.01563829787234,25.730989010989017,25.834623655913973,25.777820512820515,Angry Man Point,Rocky Point
25.367073170731707,24.643625000000004,24.844814814814814,24.65934210526316,25.067294117647055,25.66604651162792,25.86323943661972,Double Bay,Waterfall
31.16636363636364,30.687469879518073,30.562650602409636,30.36024390243903,30.520375,30.87772727272727,30.601000000000003,Wray Street,Moonlight
24.6209375,23.891041666666663,23.825833333333332,23.788631578947378,24.036145833333332,24.2846875,24.115189873417723,Rocky Point,Rocky Point
31.05297619047619,30.15960526315789,29.9420987654321,29.930740740740745,30.31634146341463,30.763563218390804,30.758428571428567,Waterfall Creek,Rocky Point
29.096447368421053,28.37329268292682,28.327349397590364,28.299870129870133,28.555903614457836,28.719125,28.820757575757575,Buckenbowra Creek,Waterfall
28.45771084337349,27.63471264367816,27.41337209302326,27.346987951807225,27.607901234567898,27.96494382022472,27.71069444444445,Chinamans Point,Rocky Point
25.949374999999996,25.223372093023254,25.513972602739727,25.04375,25.69445945945946,26.38216216216216,26.178604651162797,Big Island West,Waterfall
31.2928125,30.642395833333335,30.473645833333336,30.414791666666662,30.686458333333334,30.995625,30.7059493670886,Moonlight,Moonlight
33.560520833333335,32.9319587628866,33.00206185567011,32.761875,32.81489795918367,32.90773195876288,32.62759036144579,Snapper Point,Moonlight
30.18125,29.537714285714276,29.51289473684211,28.882328767123287,29.17255555555556,29.610823529411764,29.46472222222222,Budd Island North,Moonlight
