Day,Moonlight,Rocky Point,Waterfall
Wednesday,22.8443109540636,22.57637037037037,22.02648854961832
Thursday,22.157010676156585,22.01869565217391,21.59701550387597
Friday,21.86400696864111,21.752140221402215,21.376370656370653
Saturday,21.84809187279152,21.668795620437955,21.376731517509725
Sunday,22.069330985915496,21.912888888888887,21.640583657587552
Monday,22.396607142857142,22.20625,21.798207171314743
Tuesday,22.393516483516485,22.27414201183432,21.795886075949365
