date,2023
Jan,19.975
Dec,17.94
Nov,15.8
Oct,13.504999999999999
Sep,13.87
Aug,10.72
Jul,10.44
Jun,12.145
May,14.855
Apr,16.83
Mar,17.86
Feb,19.799999999999997
Jan,19.935000000000002
