Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Location,Harvest Area
23.46709677419355,23.492888888888885,23.75225806451613,24.15351063829787,23.760109890109884,22.89311827956989,22.255512820512823,Angry Man Point,Rocky Point
24.26573170731707,24.302375,24.569135802469138,24.71013157894737,24.440117647058823,23.61674418604651,23.185774647887325,Double Bay,Waterfall
21.656931818181818,21.58457831325301,22.200120481927712,22.815243902439025,22.278125,21.521931818181816,21.105,Wray Street,Moonlight
22.626875,22.590625,22.884479166666665,23.462526315789464,23.22322916666667,22.34822916666667,21.77215189873418,Rocky Point,Rocky Point
23.39761904761905,23.35592105263158,23.90506172839506,24.249753086419755,23.986707317073172,22.96252873563218,22.228857142857148,Waterfall Creek,Rocky Point
23.735394736842103,23.62024390243902,24.016024096385543,24.467662337662336,23.93807228915663,23.140125,22.417272727272728,Buckenbowra Creek,Waterfall
23.40843373493976,23.28712643678161,23.53627906976745,24.039638554216868,23.78259259259259,22.95550561797753,22.28611111111111,Chinamans Point,Rocky Point
23.996375,23.880116279069767,24.21780821917808,24.4185,24.09445945945946,23.419864864864863,22.954418604651163,Big Island West,Waterfall
21.82625,21.835520833333337,22.431979166666665,22.89270833333333,22.47,21.71739583333333,21.242784810126583,Moonlight,Moonlight
22.4315625,22.36618556701031,22.770515463917523,23.335729166666667,23.068367346938775,22.216391752577316,21.66698795180723,Snapper Point,Moonlight
22.09375,22.102285714285713,22.58171052631579,23.222602739726025,22.803666666666665,21.897529411764705,21.368055555555557,Budd Island North,Moonlight
